# File: A_LandNode_logit_irr.csv
# Title: A_LandNode_logit_irr
# Units: NA
# Description: Logit exponents of land nodes
# Original source: Land_nesting_structure.xls
# ----------
LandNode,logit.exponent,logit.type
Tundra,0,
RockIceDesert,0,
UrbanLand,0,
AgroForestLand,2,
AllPastureLand,3,
AgroForest_NonPasture,2.5,
AllForestLand,1.75,
GrassShrubLand,0.05,
CropLand,1.75,
Corn,0.875,
FiberCrop,0.875,
FodderGrass,0.875,
FodderHerb,0.875,
MiscCrop,0.875,
OilCrop,0.875,
OtherGrain,0.875,
PalmFruit,0.875,
Rice,0.875,
Root_Tuber,0.875,
SugarCrop,0.875,
Wheat,0.875,
biomass_grass,0.875,
biomass_tree,0.875,
