# File: USDA_cost_data.csv,,,,,,,,,,,,,,,,,
# Description: Itemized costs by crop and sub-region of USA,,,,,,,,,,,,,,,,,
# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,
Crop,Region, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Corn,Eastern Uplands,Primary output,USD/acre,363.9184,277.44,241.68,194,239.5096,182.4,172.19,225.4,241.98,206.08,357.68,406.56,569.52,560.04
Corn,Eastern Uplands,Secondary output,USD/acre,0,0,0,0,0,20.99,15.78,30.54,23.15,4.26,6.68,4.27,7.56,5.73
Corn,Eastern Uplands,Total output,USD/acre,363.9184,277.44,241.68,194,239.5096,203.39,187.97,255.94,265.13,210.34,364.36,410.83,577.08,565.77
Corn,Eastern Uplands,Seed,USD/acre,21.23,22.07,22.93,23.12,20.66,28.27,29.67,35.02,34.65,37.61,39.98,45.06,55.9,73.52
Corn,Eastern Uplands,Fertilizer,USD/acre,70.57,68.04,62.34,60.23,61.01,66.14,55.69,64.34,68.88,87.96,100.21,116.35,177.46,168.69
Corn,Eastern Uplands,Chemicals,USD/acre,31.66,30.31,31.63,32.17,32.33,23.77,23.48,24.74,24.31,22.26,23.18,23.92,24.94,27.9
Corn,Eastern Uplands,Custom operations,USD/acre,6.48,6.37,6.43,6.2,6.51,9.24,7.79,9.68,10.04,8.87,9.27,9.67,9.67,10.53
Corn,Eastern Uplands,"Fuel, lube, and electricity",USD/acre,19.11,17.56,16.27,16.32,23.6,9,6.86,10.54,12.69,17.86,19.76,21.23,27.95,19.68
Corn,Eastern Uplands,Repairs,USD/acre,14.66,14.51,15.44,15.28,16.68,10.65,10.09,10.95,11.91,11.86,12.28,12.7,13.04,13.29
Corn,Eastern Uplands,Purchased irrigation water,USD/acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn,Eastern Uplands,Interest on operating capital,USD/acre,3.9,3.85,3.52,3.37,4.39,2.21,1,0.74,1.15,3.17458,4.84,5.06,2.29,0.45
Corn,Eastern Uplands,Total operating costs,USD/acre,167.61,162.71,158.56,156.69,165.18,149.28,134.58,156.01,163.63,189.59458,209.52,233.99,311.25,314.06
Corn,Eastern Uplands,Hired labor,USD/acre,2.56,2.59,2.75,2.92,3,3.86,3.92,4.22,4.64,1.17,1.21,1.25,1.29,1.32
Corn,Eastern Uplands,Opportunity cost of unpaid labor,USD/acre,53.17,55.19,57.54,59.44,61.51,46.72,47.54,48.46,49.63,37.75,39.12,40.49,41.86,42.77
Corn,Eastern Uplands,Capital recovery of machinery and equipment,USD/acre,66.86,66.13,70.4,69.82,76.08,46.6,44.05,47.79,51.95,56.81,59.77,62.73,68.64,73.24
Corn,Eastern Uplands,Opportunity cost of land (rental rate),USD/acre,42.75,47.73,43.55,46.49,48.39,50.43,48.67,50.12,51.94,62.77,61.75,66.13,74.02,79.85
Corn,Eastern Uplands,Taxes and insurance,USD/acre,6.74,6.71,6.79,6.68,6.93,6.05,6.07,6.2,6.19,5.13,5.4,5.83,6.47,7.37
Corn,Eastern Uplands,General farm overhead,USD/acre,10.2,11.95,11.29,10.7,10.96,11.93,12.22,12.53,12.86,10.54,10.92,11.3,11.6,11.83
Corn,Eastern Uplands,Total allocated overhead,USD/acre,182.28,190.3,192.32,196.05,206.87,165.59,162.47,169.32,177.21,174.17,178.17,187.73,203.88,216.38
Corn,Eastern Uplands,Total costs listed,USD/acre,349.89,353.01,350.88,352.74,372.05,314.87,297.05,325.33,340.84,363.76458,387.69,421.72,515.13,530.44
Corn,Eastern Uplands,Value of production less total costs listed,USD/acre,14.0284,-75.57,-109.2,-158.74,-132.5404,-111.48,-109.08,-69.39,-75.71,-153.42458,-23.33,-10.89,61.95,35.33
Corn,Eastern Uplands,Value of production less operating costs,USD/acre,196.3084,114.73,83.12,37.31,74.3296,54.11,53.39,99.93,101.5,20.74542,154.84,176.84,265.83,251.71
Corn,Eastern Uplands,Yield,bu/acre,119.71,102,114,97,128.08,95,67,98,111,112,136,121,126,156
Corn,Eastern Uplands,Price,USD/bu,3.04,2.72,2.12,2,1.87,1.92,2.57,2.3,2.18,1.84,2.63,3.36,4.52,3.59
Corn,Eastern Uplands,Enterprise size,acres,42,42,42,42,42,72,72,72,72,77,77,77,77,77
Corn,Eastern Uplands,Irrigated,percent,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Corn,Eastern Uplands,Dryland,percent,100,100,100,100,100,99,99,99,99,98,98,98,98,98
Corn,Heartland,Primary output,USD/acre,384.3225,340,275.04,235.47,258.125,271.8,326.6,329.7,373.8,266.76,377.5,500.65,685.72,606.48
Corn,Heartland,Secondary output,USD/acre,1.71,1.73,1.33,1.17,1.23,1.37,1.33,1.36,1.51,0.56,0.67,0.62,0.78,0.7
Corn,Heartland,Total output,USD/acre,386.0325,341.73,276.37,236.64,259.355,273.17,327.93,331.06,375.31,267.32,378.17,501.27,686.5,607.18
Corn,Heartland,Seed,USD/acre,27.32,29.39,31.07,30.71,30.64,33,31.6,34.89,37.05,41.23,43.83,49.4,61.29,80.61
