INPUT_TABLE
Variable ID
TechCoef

region,supplysector,subsector,technology,year,minicam.energy.input,coefficient
Africa,N fertilizer,coal,coal,1975,delivered coal,1
Africa,N fertilizer,coal,coal CCS,1975,delivered coal,1
Africa,N fertilizer,gas,gas,1975,wholesale gas,1
Africa,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Africa,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Africa,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Australia_NZ,N fertilizer,coal,coal,1975,delivered coal,1
Australia_NZ,N fertilizer,coal,coal CCS,1975,delivered coal,1
Australia_NZ,N fertilizer,gas,gas,1975,wholesale gas,1
Australia_NZ,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Australia_NZ,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Canada,N fertilizer,coal,coal,1975,delivered coal,1
Canada,N fertilizer,coal,coal CCS,1975,delivered coal,1
Canada,N fertilizer,gas,gas,1975,wholesale gas,1
Canada,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Canada,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Canada,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
China,N fertilizer,coal,coal,1975,delivered coal,1
China,N fertilizer,coal,coal CCS,1975,delivered coal,1
China,N fertilizer,gas,gas,1975,wholesale gas,1
China,N fertilizer,gas,gas CCS,1975,wholesale gas,1
China,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
China,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Eastern Europe,N fertilizer,coal,coal,1975,delivered coal,1
Eastern Europe,N fertilizer,coal,coal CCS,1975,delivered coal,1
Eastern Europe,N fertilizer,gas,gas,1975,wholesale gas,1
Eastern Europe,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Eastern Europe,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Former Soviet Union,N fertilizer,coal,coal,1975,delivered coal,1
Former Soviet Union,N fertilizer,coal,coal CCS,1975,delivered coal,1
Former Soviet Union,N fertilizer,gas,gas,1975,wholesale gas,1
Former Soviet Union,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Former Soviet Union,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
India,N fertilizer,coal,coal,1975,delivered coal,1
India,N fertilizer,coal,coal CCS,1975,delivered coal,1
India,N fertilizer,gas,gas,1975,wholesale gas,1
India,N fertilizer,gas,gas CCS,1975,wholesale gas,1
India,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
India,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Japan,N fertilizer,coal,coal,1975,delivered coal,1
Japan,N fertilizer,coal,coal CCS,1975,delivered coal,1
Japan,N fertilizer,gas,gas,1975,wholesale gas,1
Japan,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Japan,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Japan,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Korea,N fertilizer,coal,coal,1975,delivered coal,1
Korea,N fertilizer,coal,coal CCS,1975,delivered coal,1
Korea,N fertilizer,gas,gas,1975,wholesale gas,1
Korea,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Korea,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Korea,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Latin America,N fertilizer,coal,coal,1975,delivered coal,1
Latin America,N fertilizer,coal,coal CCS,1975,delivered coal,1
Latin America,N fertilizer,gas,gas,1975,wholesale gas,1
Latin America,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Latin America,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Latin America,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Middle East,N fertilizer,coal,coal,1975,delivered coal,1
Middle East,N fertilizer,coal,coal CCS,1975,delivered coal,1
Middle East,N fertilizer,gas,gas,1975,wholesale gas,1
Middle East,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Middle East,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Middle East,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Southeast Asia,N fertilizer,coal,coal,1975,delivered coal,1
Southeast Asia,N fertilizer,coal,coal CCS,1975,delivered coal,1
Southeast Asia,N fertilizer,gas,gas,1975,wholesale gas,1
Southeast Asia,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Southeast Asia,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Southeast Asia,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
USA,N fertilizer,coal,coal,1975,delivered coal,1
USA,N fertilizer,coal,coal CCS,1975,delivered coal,1
USA,N fertilizer,gas,gas,1975,wholesale gas,1
USA,N fertilizer,gas,gas CCS,1975,wholesale gas,1
USA,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
USA,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Western Europe,N fertilizer,coal,coal,1975,delivered coal,1
Western Europe,N fertilizer,coal,coal CCS,1975,delivered coal,1
Western Europe,N fertilizer,gas,gas,1975,wholesale gas,1
Western Europe,N fertilizer,gas,gas CCS,1975,wholesale gas,1
Western Europe,N fertilizer,refined liquids,refined liquids,1975,refined liquids industrial,1
Western Europe,Exports_fertilizer,N fertilizer,N fertilizer,1975,N fertilizer,1
Africa,N fertilizer,coal,coal,1990,delivered coal,0.06557
Africa,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Africa,N fertilizer,gas,gas,1990,wholesale gas,0.04371
Africa,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
Africa,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464
Africa,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Australia_NZ,N fertilizer,coal,coal,1990,delivered coal,0.06557
Australia_NZ,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Australia_NZ,N fertilizer,gas,gas,1990,wholesale gas,0.04371
Australia_NZ,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
Australia_NZ,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464
Australia_NZ,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Canada,N fertilizer,coal,coal,1990,delivered coal,0.06557
Canada,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Canada,N fertilizer,gas,gas,1990,wholesale gas,0.04602
Canada,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
Canada,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464
Canada,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
China,N fertilizer,coal,coal,1990,delivered coal,0.06557
China,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
China,N fertilizer,gas,gas,1990,wholesale gas,0.04129
China,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
China,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.051
China,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Eastern Europe,N fertilizer,coal,coal,1990,delivered coal,0.06557
Eastern Europe,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Eastern Europe,N fertilizer,gas,gas,1990,wholesale gas,0.05294
Eastern Europe,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
Eastern Europe,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05294
Eastern Europe,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Former Soviet Union,N fertilizer,coal,coal,1990,delivered coal,0.06557
Former Soviet Union,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Former Soviet Union,N fertilizer,gas,gas,1990,wholesale gas,0.04845
Former Soviet Union,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
Former Soviet Union,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464
Former Soviet Union,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
India,N fertilizer,coal,coal,1990,delivered coal,0.06557
India,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
India,N fertilizer,gas,gas,1990,wholesale gas,0.04432
India,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
India,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.06071
India,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Japan,N fertilizer,coal,coal,1990,delivered coal,0.06557
Japan,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Japan,N fertilizer,gas,gas,1990,wholesale gas,0.04493
Japan,N fertilizer,gas,gas CCS,1990,wholesale gas,0.04874
Japan,N fertilizer,refined liquids,refined liquids,1990,refined liquids industrial,0.05464
Japan,Exports_fertilizer,N fertilizer,N fertilizer,1990,N fertilizer,1
Korea,N fertilizer,coal,coal,1990,delivered coal,0.06557
Korea,N fertilizer,coal,coal CCS,1990,delivered coal,0.04422
Korea,N fertilizer,gas,gas,1990,wholesale gas,0.04493
