Food Demand,,,,,,,
Energy-final-demand drivers,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
60,,,,,,,
,,,base-service,,,2020 fillout,2020 fillout
region,energy-final-demand,perCapitaBased,1975,1990,2005,price-elasticity,income-elasticity
USA,CornDemand,1,142085095,142085095,272918330,0,0
Canada,CornDemand,1,10305064,10305064,17225787,0,0
Western Europe,CornDemand,1,44971582,44971582,50626723,0,0
Japan,CornDemand,1,21396900,21396900,17851016,0,0
Australia_NZ,CornDemand,1,457983,457983,1308949,0,0
Former Soviet Union,CornDemand,1,5157598,5157598,1704504,0,0
China,CornDemand,1,200062899,200062899,151343527,0,0
Middle East,CornDemand,1,6409396,6409396,15474856,0,0
Africa,CornDemand,1,125531166,125531166,185590374,0,0
Latin America,CornDemand,1,120076350,120076350,154123369,0,0
Southeast Asia,CornDemand,1,51455200,51455200,61690836,0,0
Eastern Europe,CornDemand,1,10476065,10476065,20593649,0,0
Korea,CornDemand,1,12770132,12770132,9678884,0,0
India,CornDemand,1,32722811,32722811,27182890,0,0
USA,MiscCropDemand,1,45648598,45648598,56640332,0,0
Canada,MiscCropDemand,1,5142401,5142401,8309620,0,0
Western Europe,MiscCropDemand,1,115858249,115858249,117629961,0,0
Japan,MiscCropDemand,1,18380675,18380675,19212881,0,0
Australia_NZ,MiscCropDemand,1,3396456,3396456,6223374,0,0
Former Soviet Union,MiscCropDemand,1,42025223,42025223,48741411,0,0
China,MiscCropDemand,1,176836202,176836202,302903082,0,0
Middle East,MiscCropDemand,1,18949134,18949134,31320757,0,0
Africa,MiscCropDemand,1,228648887,228648887,380606097,0,0
Latin America,MiscCropDemand,1,104360796,104360796,123854407,0,0
Southeast Asia,MiscCropDemand,1,84607340,84607340,124539986,0,0
Eastern Europe,MiscCropDemand,1,29934041,29934041,18073670,0,0
Korea,MiscCropDemand,1,7626404,7626404,8535398,0,0
India,MiscCropDemand,1,107578999,107578999,148286895,0,0
USA,OilCropDemand,1,145651956,145651956,226409983,0,0
Canada,OilCropDemand,1,9447626,9447626,20832144,0,0
Western Europe,OilCropDemand,1,120759063,120759063,200247086,0,0
Japan,OilCropDemand,1,34714463,34714463,36364293,0,0
Australia_NZ,OilCropDemand,1,4036582,4036582,7786976,0,0
Former Soviet Union,OilCropDemand,1,2404204,2404204,54566103,0,0
China,OilCropDemand,1,165922378,165922378,387205614,0,0
Middle East,OilCropDemand,1,18353539,18353539,39406101,0,0
Africa,OilCropDemand,1,84423367,84423367,146676868,0,0
Latin America,OilCropDemand,1,109463811,109463811,148299083,0,0
Southeast Asia,OilCropDemand,1,117239039,117239039,196167388,0,0
Eastern Europe,OilCropDemand,1,13198016,13198016,25130962,0,0
Korea,OilCropDemand,1,8950886,8950886,15150097,0,0
India,OilCropDemand,1,99954474,99954474,189323176,0,0
USA,OtherGrainDemand,1,29648412,29648412,7514727,0,0
Canada,OtherGrainDemand,1,14134763,14134763,2832800,0,0
Western Europe,OtherGrainDemand,1,99996547,99996547,49132757,0,0
Japan,OtherGrainDemand,1,10421033,10421033,6644985,0,0
Australia_NZ,OtherGrainDemand,1,2420054,2420054,5796190,0,0
Former Soviet Union,OtherGrainDemand,1,69093441,69093441,25398856,0,0
China,OtherGrainDemand,1,50280488,50280488,29596696,0,0
Middle East,OtherGrainDemand,1,13212281,13212281,14999566,0,0
Africa,OtherGrainDemand,1,107238842,107238842,174505864,0,0
Latin America,OtherGrainDemand,1,19063118,19063118,32190526,0,0
Southeast Asia,OtherGrainDemand,1,5627344,5627344,5890767,0,0
Eastern Europe,OtherGrainDemand,1,32562450,32562450,20484300,0,0
Korea,OtherGrainDemand,1,2568386,2568386,1514630,0,0
India,OtherGrainDemand,1,96435766,96435766,67825528,0,0
USA,RiceDemand,1,10969059,10969059,12445493,0,0
Canada,RiceDemand,1,702162,702162,1565004,0,0
Western Europe,RiceDemand,1,8401725,8401725,12168752,0,0
Japan,RiceDemand,1,38876676,38876676,37940003,0,0
Australia_NZ,RiceDemand,1,1047470,1047470,797690,0,0
Former Soviet Union,RiceDemand,1,6994534,6994534,5657545,0,-0.05
China,RiceDemand,1,591757621,591757621,629636557,0,-0.05
Middle East,RiceDemand,1,18591119,18591119,18596914,0,-0.05
Africa,RiceDemand,1,44877173,44877173,81114160,0,-0.05
Latin America,RiceDemand,1,44493485,44493485,77395753,0,-0.05
Southeast Asia,RiceDemand,1,332654059,332654059,469039578,0,-0.05
Eastern Europe,RiceDemand,1,1653931,1653931,1647590,0,-0.05
Korea,RiceDemand,1,22661128,22661128,18168127,0,-0.05
India,RiceDemand,1,301181476,301181476,362589972,0,-0.05
USA,SugarCropDemand,1,92759574,92759574,111415664,0,0
Canada,SugarCropDemand,1,13734342,13734342,17824468,0,0
Western Europe,SugarCropDemand,1,120518861,120518861,116302008,0,0
Japan,SugarCropDemand,1,37019289,37019289,27299988,0,0
Australia_NZ,SugarCropDemand,1,24010594,24010594,41623413,0,0
Former Soviet Union,SugarCropDemand,1,343716,343716,90948456,0,0
China,SugarCropDemand,1,159786872,159786872,254288574,0,0
Middle East,SugarCropDemand,1,27025533,27025533,52822165,0,0
Africa,SugarCropDemand,1,142723153,142723153,235557870,0,0
Latin America,SugarCropDemand,1,975519739,975519739,967570853,0,0
Southeast Asia,SugarCropDemand,1,254338522,254338522,353411171,0,0
Eastern Europe,SugarCropDemand,1,21375884,21375884,20215531,0,0
Korea,SugarCropDemand,1,8059034,8059034,19536492,0,0
India,SugarCropDemand,1,481635086,481635086,509975255,0,0
USA,WheatDemand,1,141689224,141689224,101466119,0,0
Canada,WheatDemand,1,34969991,34969991,28598901,0,0
