INPUT_TABLE
Variable ID
LN3_MgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,GCAM_commodity,AEZ,Cdensity_LT,HarvestIndex,WaterContent,Root_Shoot,Yield
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999998,0.13,0.179999999999999,0
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999943,0.129999999999986,0.179999999999981,0
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999988,0.129999999999997,0.179999999999996,0
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999996466667,0.129999999133333,0.1799999988,0
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0.305,3,0.305,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999159,0.129999999999794,0.179999999999714,0.700645787942202
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999962,0.129999999999991,0.179999999999987,0
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999996,0.129999999999999,0.179999999999999,0
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0.128,3,0.128,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999811,0.129999999999954,0.179999999999936,0.293975064696542
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0.246,3,0.246,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999989,0.129999999999997,0.179999999999996,0.565190606619817
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0.183,3,0.183,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999994,0.129999999999999,0.179999999999998,0.420691901097725
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0.03,3,0.03,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999982,0.129999999999996,0.179999999999994,0.0691769163494042
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999985,0.129999999999996,0.179999999999995,0
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0,3,0,3,1,0,0,Corn,AEZ01,Cropland,0.529999999992786,0.129999999998231,0.17999999999755,0
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,CornAEZ01,0.175,3,0.175,3,1,0,0,Corn,AEZ01,Cropland,0.529999999999964,0.129999999999991,0.179999999999988,0.401657161196921
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,FiberCropAEZ01,0,3,0,3,1,0,0,FiberCrop,AEZ01,Cropland,0.55,0.08,0.17,0
