# File: FAO_For_Prod_m3_FORESTAT.csv
# Title: FAO forestry production (roundwood total) by country.year
# Units: m3
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-15
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2,Roundwood,1861,Production,5516,1354291,1371568,1414937,1533399,1596956,1692609,1731357,1812205,1898151,1991198,2057077,2140438,2157978,2209075,2181910,2219638,2235423,2242368,2251238,2248483,2227954,2195253,2158493,2119140,2090854,2065850,2068363,2081061,2109668,2155216,2206747,2294676,2399089,2508164,2614462,2716335,2811711,2881995,2969992,3038715,3074150,3110626,3148176,3186832,3226629,3258194,3290522,3323634,3357549,3401290,3415317,3453939,3485812,3518409,3551747,3583797,3616559,3650051,3684292
Albania,3,Roundwood,1861,Production,5516,1535000,1337000,1520000,1764000,1894000,1710000,1471000,1892000,2375000,2429000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2330000,2278000,2258000,2288000,2076000,2556000,2556000,595000,409000,409000,409000,409000,355410,230000,447000,264600,304800,296200,296200,296200,296200,430000,430000,430000,430000,1180000,1180000,1180010,1180010,1180010,1180010,1180010,1180010,1180010
Algeria,4,Roundwood,1861,Production,5516,2955764,3022843,3103463,3174661,3248473,3318938,3396094,3471980,3580637,3630106,3833993,3814655,3932757,4018630,4121547,4190220,4288665,4354836,4439520,4589272,4721412,4821660,4933173,5036849,5132806,5299523,5459030,5636499,5725653,5900620,6143128,6300453,6596578,6715009,6819825,6977969,7151169,7268915,7399087,7236136,7396295,7512790,7523973,7666503,7742132,7841881,7969540,8071039,8174209,8321080,8384777,8455290,8526630,8598808,8671832,8722372,8773392,8824897,8876893
Andorra,6,Roundwood,1861,Production,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Angola,7,Roundwood,1861,Production,5516,1748164,1846735,1936256,2036754,2084258,2126798,2216402,2507103,2768932,2806923,3019916,2711088,2629679,2625370,2761759,2800107,2792390,2773923,2770780,2758657,2748423,2672804,2714010,2833972,2900688,2943531,2965227,3005194,3092878,3185007,3281874,3380879,3671559,3748763,3779166,3839807,3934819,4046239,4166998,4259117,4336501,4416171,4498202,4582673,4669664,4751966,4836600,4923638,5024258,5136338,5234538,5335293,5441681,5554785,5704689,5803131,5926932,6023161,6121886
Argentina,9,Roundwood,1861,Production,5516,11343000,10536000,9713000,10662000,10957000,5619703,5472740,6179778,6220815,6223854,6745893,6811932,6548971,7041010,6997051,7601091,7487132,7147173,8334213,8057675,7071554,7771928,9413290,9528592,9366264,8703242,9364637,10139585,10765390,10230020,10407976,11710824,10332318,10774685,11584529,11494697,11514314,12304750,9856602,10703792,9543261,11545389,13018128,15003911,14337344,14027118,13658208,13119301,14089211,15009546,14624000,16496000,18261000,15033332,16221000,16979000,17884109,17884109,17884109
Armenia,1,Roundwood,1861,Production,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62200,62200,62200,62200,62200,57400,49000,54000,66000,65000,42700,68000,46000,1370000,1502000,1751000,2075000,2076000,1547100,1547100,1547900,1548200,1548100,1548200,1547000
Aruba,22,Roundwood,1861,Production,5516,1571,1547,1524,1501,1479,1457,1435,1414,1392,1372,1358,1371,1357,1342,1329,1309,1262,1243,1198,1180,1164,1183,1182,1208,1233,1259,1266,1213,1208,1194,1200,1184,1151,1110,1117,1119,1105,1169,1196,1282,1331,1382,1435,1491,1548,1586,1625,1665,1705,1748,1808,1872,1872,2005,2075,2153,2233,2317,2403
Australia,10,Roundwood,1861,Production,5516,14138000,13336000,13728000,14302000,14209000,14114000,14002888,14104000,13946777,13882000,14501111,14054000,14005666,14391000,15992000,15652000,16669000,16849000,16476000,18431000,18748000,16772000,16087000,17776000,19222489,19713081,19560770,19953433,19882064,20758312,20390530,20674352,21910357,23252496,24302499,24357892,26748000,28050000,27667000,31181000,31087000,29712000,31604000,31933000,31933000,31777000,32264000,33269000,30316000,30414000,31394000,28242000,27324000,30012000,31386248,34127611,37274909,37175389,36799476
Austria,11,Roundwood,1861,Production,5516,11623000,11160000,10369000,10774000,10947000,11621000,11458000,11158000,11991000,11813000,12406000,12515000,11967000,11655000,11326000,13175000,13162000,12767000,14386000,14386000,14256000,13399000,13647000,14204000,14222000,13721000,13604000,14972000,16255000,16773000,15572000,12849000,12857000,14960000,14405000,15609000,15325000,14033000,14083000,13276000,13467000,14846000,17055000,16483000,16471000,19135000,21317341,21795428,16727438,17830956,18695671,18020680,17389735,17088560,17549526,16763033,17647118,19192060,18903715
