# File: FAO_For_Exp_m3_USD_FORESTAT.csv
# Title: FAO historical forests export qunatity and export value
# Units: Export Quantity in m3; Export Value in 1000 US$
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-14
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9854,2033,2033,2033,2033,2058,2059,2071,2071,10033,34107,100020,100020,10331,8845,2602,667,413,11613,11613,11378,2117,2610,7204,559,87,372
Afghanistan,2,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,72,72,72,72,76,80,75,75,1601,4513,8124,8124,1733,6834,2825,2840,2681,3644,3644,3454,450,653,1479,113,17,67
Albania,3,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,1112,2402,1000,1000,1000,6828,17,379,379,25700,96600,56767,56767,56767,56767,56767,56767,56767,56767,15918,78900,78900,78900,78900,78900,26674,22866,22866
Albania,3,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,84,162,138,138,138,365,129,151,578,3342,1906,1194,1194,1194,1194,1194,1194,1194,1194,5064,3830,3830,3830,3830,3830,1677,1203,1203
Algeria,4,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196,,100,,0,0,0,0,0,0,0,0,0,75,517,517,517,241,944,384,317,317,290,290,290,0,47,21,0,0
Algeria,4,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,4,,0,0,0,0,0,0,0,0,0,4,43,43,43,41,85,48,44,44,26,26,26,0,12,11,0,0
American Samoa,5,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,48,0,0,21
American Samoa,5,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,0,3
Andorra,6,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,569,321,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,520,167,446,747,2838
Andorra,6,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,20,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51,12,19,38,113
Angola,7,Roundwood,1861,Export Quantity (m3),5916,88800,94100,94100,103800,103400,107400,108900,171000,180200,151800,133100,148100,219400,126300,,,,,,,,,,,111,891,110,174,2606,500,,1900,1900,1700,1700,200,2024,722,3626,6039,1300,715,824,12270,12270,4468,2736,6439,5765,6015,7074,13839,4170,15000,45591,108971,97265,98643,99000
Angola,7,Roundwood,1861,Export Value (1000 US$),5922,2075,2556,2556,2878,2840,3236,3418,5837,6928,5898,5071,5305,8534,8532,,,,,,,,,,,19,171,43,65,262,73,,550,550,670,670,61,1149,395,1335,2437,646,352,698,2356,2356,2400,2289,2582,2084,2221,2547,6630,3184,6698,15206,29406,43600,40072,24849
Anguilla,258,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Anguilla,258,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Antigua and Barbuda,8,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0
Antigua and Barbuda,8,Roundwood,1861,Export Value (1000 US$),5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,0,0
Argentina,9,Roundwood,1861,Export Quantity (m3),5916,14400,16300,17800,18500,6300,6300,5200,400,1200,900,500,200,100,400,,,700,1900,2900,2300,2300,1800,2700,2900,2900,4435,8518,397940,546000,545228,330060,556208,196000,639800,1119000,604400,491100,453000,228000,123000,25000,36230,54462,12604,47062,36943,124448,80392,19943,46220,23409,14226,13084,22396,12582,4049,2773,2805,135700
