# File: states_subregions.csv
# Title: State codes-names-groupings mappings
# Units: NA
# Source:  None (mapping of state groupings found in various datasets used in GCAM-USA data processing)
# Description: Mapping between state codes, state names, and state groupings found in various inventories relevant for GCAM-USA
# grid_region: electricity grid region (n=12)
# DIVISION: Census division (n=9)
# LRGSTATE: Large states (CA, FL, NY, TX) specifically indicated in 1993-2005 versions of # the Residential Energy Consumption Survey (n=4)
# REGION: Census region (n=4)
# subregion13: Census divisions with 4 large states broken out (n=13)
# DIVISION2009: Revised census divisions in 2009 (n=10) Breaks up the Mountain division into Northern (CO, ID, MT, UT, WY) and Southern components (AZ, NM, NV)
# subregion9: named census divisions (n=9)
# subregion4: named census regions (n=4)
# REPORTABLE_DOMAIN: most resolved state groupings in 2009 Residential Energy Consumption Survey (n=27)
# subregion27: named reportable domains (n=27)
# Column types: ccciiiciccicci
# ----------
state,state_name,grid_region,DIVISION,LRGSTATE,REGION,subregion13,DIVISION2009,subregion9,subregion4,REPORTABLE_DOMAIN,subregion27,NEMS,RECS2015_DIVISION
AK,Alaska,Alaska grid,9,0,4,Pacific,10,Pacific,West,27,Other Pacific,NWP,10
AL,Alabama,Southeast grid,6,0,3,Central-SE,6,Central-SE,South,18,Other Central-SE,STV,6
AR,Arkansas,Southeast grid,7,0,3,Central-SW,7,Central-SW,South,20,Other Central-SW,SPP,7
AZ,Arizona,Southwest grid,8,0,4,Mountain,9,Mountain,West,24,Arizona,RA,9
CA,California,California grid,9,2,4,California,10,Pacific,West,26,California,CNV,10
CO,Colorado,Southwest grid,8,0,4,Mountain,8,Mountain,West,22,Colorado,RA,9
CT,Connecticut,New England grid,1,0,1,New England,1,New England,Northeast,1,Other Northeast,NE_SR,1
DC,District of Columbia,Mid-Atlantic grid,5,0,3,Atlantic-S,5,Atlantic-S,South,14,Other Atlantic-S,MAAC,5
DE,Delaware,Mid-Atlantic grid,5,0,3,Atlantic-S,5,Atlantic-S,South,14,Other Atlantic-S,MAAC,5
FL,Florida,Florida grid,5,4,3,Florida,5,Atlantic-S,South,17,Florida,FL_SR,5
