# File: calibrated_techs.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: n/a
# Column types: cccccccc 
# ----------
sector,fuel,supplysector,subsector,technology,minicam.energy.input,calibration,secondary.output
electricity generation,coal,electricity,coal,coal (conv pul),regional coal,input,heat
electricity generation,gas,electricity,gas,gas (steam/CT),wholesale gas,input,heat
electricity generation,gas,electricity,gas,gas (CC),wholesale gas,input,
electricity generation,refined liquids,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,input,heat
electricity generation,biomass,electricity,biomass,biomass (conv),regional biomass,input,heat
electricity generation,nuclear,electricity,nuclear,Gen_II_LWR,nuclearFuelGenII,output,
electricity generation,hydro,electricity,hydro,hydro,,fixed output,
electricity generation,wind,electricity,wind,wind,onshore wind resource,output,
electricity generation,solar PV,electricity,solar,PV,global solar resource,output,
electricity generation,solar CSP,electricity,solar,CSP,global solar resource,output,
electricity generation,geothermal,electricity,geothermal,geothermal,geothermal,output,
gas processing,coal,gas processing,coal gasification,coal gasification,regional coal,output,
gas processing,gas,gas processing,natural gas,natural gas,regional natural gas,output,
gas processing,biomass,gas processing,biomass gasification,biomass gasification,regional biomass,output,
corn ethanol,corn,refining,biomass liquids,corn ethanol,regional corn for ethanol,output,
corn ethanol,gas,refining,biomass liquids,corn ethanol,wholesale gas,output,
corn ethanol,electricity,refining,biomass liquids,corn ethanol,elect_td_ind,output,
sugar cane ethanol,sugar,refining,biomass liquids,sugar cane ethanol,regional sugar for ethanol,output,
biodiesel,biomass oil,refining,biomass liquids,biodiesel,regional biomassOil,output,
biodiesel,gas,refining,biomass liquids,biodiesel,wholesale gas,output,
cellulosic ethanol,biomass,refining,biomass liquids,cellulosic ethanol,regional biomass,output,
FT biofuels,biomass,refining,biomass liquids,FT biofuels,regional biomass,output,
gtl,gas,refining,gas to liquids,gas to liquids,regional natural gas,output,
ctl,coal,refining,coal to liquids,coal to liquids,regional coal,output,
oil refining,oil,refining,oil refining,oil refining,regional oil,output,
oil refining,gas,refining,oil refining,oil refining,wholesale gas,output,
oil refining,electricity,refining,oil refining,oil refining,elect_td_ind,output,
heat,biomass,district heat,biomass,biomass,delivered biomass,input,
heat,coal,district heat,coal,coal,delivered coal,input,
heat,electricity,district heat,electricity,electricity,elect_td_ind,input,
heat,gas,district heat,gas,gas,wholesale gas,input,
heat,refined liquids,district heat,refined liquids,refined liquids,refined liquids industrial,input,
electricity ownuse,electricity,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,coefficient,
electricity distribution,electricity,elect_td_bld,elect_td_bld,elect_td_bld,electricity_net_ownuse,coefficient,
electricity distribution,electricity,elect_td_ind,elect_td_ind,elect_td_ind,electricity_net_ownuse,coefficient,
electricity distribution,electricity,elect_td_trn,elect_td_trn,elect_td_trn,electricity_net_ownuse,coefficient,
gas pipeline,gas,gas pipeline,gas pipeline,gas pipeline,gas processing,coefficient,
heat,biomass,district heat,biomass,biomass,delivered biomass,input,
heat,coal,district heat,coal,coal,delivered coal,input,
heat,gas,district heat,gas,gas,wholesale gas,input,
heat,refined liquids,district heat,refined liquids,refined liquids,refined liquids industrial,input,
chp_elec,biomass,industrial energy use,biomass,biomass cogen,delivered biomass,input,electricity
chp_elec,coal,industrial energy use,coal,coal cogen,delivered coal,input,electricity
chp_elec,gas,industrial energy use,gas,gas cogen,wholesale gas,input,electricity
chp_elec,refined liquids,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,input,electricity
industry_feedstocks,coal,industrial feedstocks,coal,coal,delivered coal,input,
industry_feedstocks,gas,industrial feedstocks,gas,gas,wholesale gas,input,
industry_feedstocks,refined liquids,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,input,
industry_energy,biomass,industrial energy use,biomass,biomass,delivered biomass,input,
industry_energy,coal,industrial energy use,coal,coal,delivered coal,input,
industry_energy,electricity,industrial energy use,electricity,electricity,elect_td_ind,input,
industry_energy,gas,industrial energy use,gas,gas,wholesale gas,input,
industry_energy,heat,industrial energy use,district heat,district heat,district heat,input,
industry_energy,refined liquids,industrial energy use,refined liquids,refined liquids,refined liquids industrial,input,
cement,electricity,cement,cement,cement,elect_td_ind,output,
cement,heat,cement,cement,cement,process heat cement,output,
cement,limestone,cement,cement,cement,limestone,output,
cement,biomass,process heat cement,biomass,biomass,delivered biomass,input,
cement,coal,process heat cement,coal,coal,delivered coal,input,
cement,gas,process heat cement,gas,gas,wholesale gas,input,
cement,refined liquids,process heat cement,refined liquids,refined liquids,refined liquids industrial,input,
N fertilizer,gas,N fertilizer,gas,gas,wholesale gas,output,
N fertilizer,coal,N fertilizer,coal,coal,delivered coal,output,
N fertilizer,refined liquids,N fertilizer,refined liquids,refined liquids,refined liquids industrial,output,
