# File: A44.globaltech_shrwt.csv
# Title: Building default technology shareweights
# Units: Unitless
# Column types: cccnnnnn
# ----------
supplysector,subsector,technology,1971,2010,2020,2050,2100
resid heating modern,biomass,biomass,1,1,1,1,1
resid heating coal,coal,coal,1,1,1,1,1
resid heating modern,electricity,electricity,1,1,1,1,1
resid heating modern,gas,gas,1,1,1,1,1
resid heating modern,refined liquids,refined liquids,1,1,1,1,1
resid heating TradBio,traditional biomass,traditional biomass,1,1,1,1,1
resid heating modern,district heat,district heat,1,1,1,1,1
resid cooling modern,electricity,electricity,1,1,1,1,1
resid cooling modern,gas,gas,1,1,1,1,1
resid others modern,biomass,biomass,1,1,1,1,1
resid others coal,coal,coal,1,1,1,1,1
resid others modern,electricity,electricity,1,1,1,1,1
resid others modern,gas,gas,1,1,1,1,1
resid others modern,refined liquids,refined liquids,1,1,1,1,1
resid others TradBio,traditional biomass,traditional biomass,1,1,1,1,1
resid others modern,district heat,district heat,1,1,1,1,1
comm heating,biomass,biomass,1,1,1,1,1
comm heating,coal,coal,1,1,1,1,1
comm heating,electricity,electricity,1,1,1,1,1
comm heating,gas,gas,1,1,1,1,1
comm heating,refined liquids,refined liquids,1,1,1,1,1
comm heating,district heat,district heat,1,1,1,1,1
comm cooling,electricity,electricity,1,1,1,1,1
comm cooling,gas,gas,1,1,1,1,1
comm others,biomass,biomass,1,1,1,1,1
comm others,coal,coal,1,1,1,1,1
comm others,electricity,electricity,1,1,1,1,1
comm others,gas,gas,1,1,1,1,1
comm others,refined liquids,refined liquids,1,1,1,1,1
comm others,district heat,district heat,1,1,1,1,1
resid heating modern,gas,hydrogen,0,0,0,1,1
resid others modern,gas,hydrogen,0,0,0,1,1
comm heating,gas,hydrogen,0,0,0,1,1
comm others,gas,hydrogen,0,0,0,1,1
