# File: A23.globaltech_capacity_factor.csv
# Title: Electricity technology capacity factors
# Units: Unitless; ratio of generation to capacity
# Source: Assumption
# Electricity technology capacity factors currently just used to levelize costs
# Assumed to stay constant
# Changes to future capacity factors are allow and are interpolated
# Column types: cccnn 
# ----------
supplysector,subsector,technology,1971,2100
electricity,coal,coal (conv pul),0.85,0.85
electricity,coal,coal (conv pul CCS),0.8,0.8
electricity,coal,coal (IGCC),0.8,0.8
electricity,coal,coal (IGCC CCS),0.8,0.8
electricity,gas,gas (steam/CT),0.8,0.8
electricity,gas,gas (CC),0.85,0.85
electricity,gas,gas (CC CCS),0.8,0.8
electricity,refined liquids,refined liquids (steam/CT),0.8,0.8
electricity,refined liquids,refined liquids (CC),0.85,0.85
electricity,refined liquids,refined liquids (CC CCS),0.8,0.8
electricity,biomass,biomass (conv),0.85,0.85
electricity,biomass,biomass (conv CCS),0.85,0.85
electricity,biomass,biomass (IGCC),0.8,0.8
electricity,biomass,biomass (IGCC CCS),0.8,0.8
electricity,nuclear,Gen_II_LWR,0.9,0.9
electricity,nuclear,Gen_III,0.9,0.9
electricity,wind,wind,0.37,0.37
electricity,wind,wind_storage,0.37,0.37
electricity,solar,PV,0.2,0.2
electricity,solar,PV_storage,0.2,0.2
electricity,solar,CSP,0.25,0.25
electricity,solar,CSP_storage,0.5,0.5
electricity,geothermal,geothermal,0.9,0.9
elect_td_bld,rooftop_pv,rooftop_pv,0.17,0.17
