"Delete old shale oil and refining sectors, and set CO2 coefficients for biomass and new sectors",,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
1,,minicam can't actually delete the primaryfuel CO2 coef as it isn't a node. this sets it to 0 and there will be a warning message,,,,,,,,,,,,,,
,delete,delete,,,,,,,,,,,,,,
region,depresource,PrimaryFuelCO2Coef,,,,,,,,,,,,,,
ALL,shale oil,shale oil,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
,name,,,,,,,,,,,,,,,
region,PrimaryFuelCO2Coef,PrimaryFuelCO2Coef,,,,,,,,,,,,,,
ALL,regional biomass,23,,,,,,,,,,,,,,
ALL,delivered biomass,23,,,,,,,,,,,,,,
ALL,unconventional oil,21.1,,,,,,,,,,,,,,
ALL,unconventional oil production,19.6,,,,,,,,,,,,,,
ALL,traded unconventional oil,19.6,,,,,,,,,,,,,,
ALL,regional oil,19.6,,,,,,,,,,,,,,
ALL,refined liquids enduse,19.6,,,,,,,,,,,,,,
ALL,refined liquids industrial,19.6,,,,,,,,,,,,,,
ALL,regional corn for ethanol,23,,,,,,,,,,,,,,
ALL,regional sugar for ethanol,23,,,,,,,,,,,,,,
ALL,regional sugarbeet for ethanol,23,,,,,,,,,,,,,,
ALL,regional biomassOil,23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
,,minicam can't actually delete the primaryfuel CO2 coef as it isn't a node. this sets it to 0 and there will be a warning message,,,,,,,,,,,,,,
region,supplysector,primaryfuelCO2coef,,,,,,,,,,,,,,
ALL,delivered pet prods,delivered pet prods,,,,,,,,,,,,,,
ALL,refined oil,refined oil,,,,,,,,,,,,,,
ALL,shale oil regional,shale oil regional,,,,,,,,,,,,,,
ALL,regional crude oil,regional crude oil,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Refining supplysectors: unit tags,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,1975 price,,,,,,,,,,,
ALL,unconventional oil production,EJ,EJ,1975$/GJ,0,,,,,,,,,,,
ALL,regional oil,EJ,EJ,1975$/GJ,1,,,,,,,,,,,
ALL,refined liquids enduse,EJ,EJ,1975$/GJ,3.61,,,,,,,,,,,
ALL,refined liquids industrial,EJ,EJ,1975$/GJ,2.51,,,,,,,,,,,
ALL,regional corn for ethanol,EJ,EJ,1975$/GJ,2.46,,,,,,,,,,,
ALL,regional sugar for ethanol,EJ,EJ,1975$/GJ,2.46,,,,,,,,,,,
ALL,regional sugarbeet for ethanol,EJ,EJ,1975$/GJ,2.46,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Refining supplysectors: subsector shareweights,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
