not read,,,,,,,,,,,,,,
removing from core input,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
region,intermittent-supplysector,,,,,,,,,,,,,
ALL,WindandAuxiliary,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
,,,shareweight,interpolation-rule,,,,,,,,,,
region,supplysector,subsector,1975,apply-to,from-year,to-year,interpolation-function,,,,,,,
Africa,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Australia_NZ,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Canada,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
China,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Eastern Europe,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Former Soviet Union,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
India,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Japan,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Korea,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Latin America,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Middle East,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Southeast Asia,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
USA,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
Western Europe,electricity,wind,1,share-weight,2005,2035,linear,,,,,,,
,,,,,,,,,,,,,,
Shareweight path and technology-level logit exponent,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
,,,sharewt,,,,,,1975 fillout,,,,,
region,supplysector,subsector,2020,2035,2050,2065,2080,2095,logit-exponent,,,,,
Africa,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Australia_NZ,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Canada,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
China,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Eastern Europe,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Former Soviet Union,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
India,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Japan,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Korea,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
Latin America,electricity,wind,0.25,0.5,0.5,0.5,0.5,0.5,-6,,,,,
