# File: A_agRegionalSector.csv
# Title: Supplysector assumptions for regional agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete domestic production and imports from the globally traded markets (source: GTAP)
# Source: NA
# Column types: ccccnc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
regional corn,Mt,Mt,1975$/kg,-1.3,
regional fibercrop,Mt,Mt,1975$/kg,-2.5,
regional fruits,Mt,Mt,1975$/kg,-2.41,
regional legumes,Mt,Mt,1975$/kg,-2.41,
regional misccrop,Mt,Mt,1975$/kg,-2.41,
regional nuts_seeds,Mt,Mt,1975$/kg,-2.41,
regional oilcrop,Mt,Mt,1975$/kg,-2.99,
regional othergrain,Mt,Mt,1975$/kg,-1.3,
regional oilpalm,Mt,Mt,1975$/kg,-2.99,
regional rice,Mt,Mt,1975$/kg,-2.9,
regional root_tuber,Mt,Mt,1975$/kg,-2.41,
regional soybean,Mt,Mt,1975$/kg,-2.99,
regional sugarcrop,Mt,Mt,1975$/kg,-2.7,
regional vegetables,Mt,Mt,1975$/kg,-2.41,
regional wheat,Mt,Mt,1975$/kg,-4.45,
regional beef,Mt,Mt,1975$/kg,-3.9,
regional dairy,Mt,Mt,1975$/kg,-3.7,
regional pork,Mt,Mt,1975$/kg,-4.4,
regional poultry,Mt,Mt,1975$/kg,-4.4,
regional sheepgoat,Mt,Mt,1975$/kg,-3.9,
regional forest,billion m3,billion m3,1975$/m3,-2.5,
