# File: A_LandLeaf3.csv
# Title: A_LandLeaf3
# Units: NA
# Description: Managed land leafs in the third node
# Original source: Land_nesting_structure.xls
# Column types: cccc 
# ----------
LandNode1,LandNode2,LandNode3,LandLeaf
AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest
AgroForestLand,AgroForest_NonPasture,AllForestLand,biomassTree
AgroForestLand,AgroForest_NonPasture,CropLand,Corn
AgroForestLand,AgroForest_NonPasture,CropLand,FiberCrop
AgroForestLand,AgroForest_NonPasture,CropLand,FodderGrass
AgroForestLand,AgroForest_NonPasture,CropLand,FodderHerb
AgroForestLand,AgroForest_NonPasture,CropLand,MiscCrop
AgroForestLand,AgroForest_NonPasture,CropLand,OilCrop
AgroForestLand,AgroForest_NonPasture,CropLand,OtherGrain
AgroForestLand,AgroForest_NonPasture,CropLand,PalmFruit
AgroForestLand,AgroForest_NonPasture,CropLand,Rice
AgroForestLand,AgroForest_NonPasture,CropLand,RootTuber
AgroForestLand,AgroForest_NonPasture,CropLand,SugarCrop
AgroForestLand,AgroForest_NonPasture,CropLand,Wheat
AgroForestLand,AgroForest_NonPasture,CropLand,biomassGrass
