# Electricity subsector shareweight interpolation,,,,,,
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
electricity,coal,share-weight,final-calibration-year,2300,1,s-curve
electricity,gas,share-weight,final-calibration-year,2300,1,s-curve
electricity,refined liquids,share-weight,final-calibration-year,2300,1,s-curve
electricity,biomass,share-weight,final-calibration-year,2020,,linear
electricity,biomass,share-weight,2020,2065,,linear
electricity,nuclear,share-weight,final-calibration-year,2020,,linear
electricity,nuclear,share-weight,2050,end-year,,linear
electricity,wind,share-weight,final-calibration-year,2020,,linear
electricity,wind,share-weight,2020,2065,,linear
electricity,solar,share-weight,final-calibration-year,2020,,linear
electricity,solar,share-weight,2020,2065,,linear
electricity,geothermal,share-weight,final-calibration-year,2020,,linear
electricity,geothermal,share-weight,2020,2065,,linear
elect_td_bld,rooftop_pv,share-weight,final-calibration-year,2020,,linear
